season,episode,title,air_date,rating,viewers
1,1,Unauthorized Magic,2015-12-16,0.2,0.92
1,2,The Source of Magic,2016-01-25,0.4,1.11
1,3,Consequences of Advanced Spellcasting,2016-02-01,0.4,0.9
1,4,The World in the Walls,2016-02-08,0.3,0.75
1,5,"Mendings, Major and Minor",2016-02-15,0.3,0.75
1,6,Impractical Applications,2016-02-22,0.3,0.65
1,7,The Mayakovsky Circumstance,2016-02-29,0.3,0.7
1,8,The Strangled Heart,2016-03-07,0.3,0.67
1,9,The Writing Room,2016-03-14,0.3,0.71
1,10,Homecoming,2016-03-21,0.3,0.78
1,11,Remedial Battle Magic,2016-03-28,0.3,0.72
1,12,Thirty-Nine Graves,2016-04-04,0.3,0.75
1,13,Have You Brought Me Little Cakes,2016-04-11,0.3,0.68
2,1,Knight of Crowns,2017-01-25,0.5,1.29
2,2,Hotel Spa Potions,2017-02-01,0.4,0.94
2,3,Divine Elimination,2017-02-08,0.4,0.91
2,4,The Flying Forest,2017-02-15,0.3,0.78
2,5,Cheat Day,2017-02-22,0.4,0.88
2,6,The Cock Barrens,2017-03-01,0.3,0.78
2,7,Plan B,2017-03-08,0.2,0.63
2,8,Word as Bond,2017-03-15,0.3,0.71
2,9,Lesser Evils,2017-03-22,0.3,0.61
2,10,The Girl Who Told Time,2017-03-29,0.3,0.72
2,11,The Rattening,2017-04-05,0.2,0.65
2,12,Ramifications,2017-04-12,0.3,0.67
2,13,We Have Brought You Little Cakes,2017-04-19,0.3,0.67
3,1,The Tales of the Seven Keys,2018-01-10,0.3,0.78
3,2,Heroes and Morons,2018-01-17,0.3,0.76
3,3,The Losses of Magic,2018-01-24,0.2,0.61
3,4,Be the Penny,2018-01-31,0.3,0.67
3,5,A Life in the Day,2018-02-07,0.3,0.8
3,6,Do You Like Teeth?,2018-02-14,0.3,0.67
3,7,Poached Eggs,2018-02-21,0.2,0.64
3,8,Six Short Stories About Magic,2018-02-28,0.2,0.54
3,9,All That Josh,2018-03-07,0.3,0.72
3,10,The Art of the Deal,2018-03-14,0.3,0.7
3,11,Twenty-Three,2018-03-21,0.3,0.77
3,12,The Fillorian Candidate,2018-03-28,0.3,0.73
3,13,Will You Play With Me?,2018-04-04,0.2,0.66
4,1,A Flock of Lost Birds,2019-01-23,0.2,0.61
4,2,"Lost, Found, Fucked",2019-01-30,0.2,0.53
4,3,The Bad News Bear,2019-02-06,0.2,0.62
4,4,Marry Fuck Kill,2019-02-13,0.2,0.57
4,5,Escape From the Happy Place,2019-02-20,0.2,0.53
4,6,A Timeline and Place,2019-02-27,0.2,0.53
4,7,The Side Effect,2019-03-06,0.2,0.52
4,8,Home Improvement,2019-03-13,0.2,0.53
4,9,The Serpent,2019-03-20,0.2,0.5
4,10,"All That Hard, Glossy Armor",2019-03-27,0.2,0.52
4,11,The 4-1-1,2019-04-03,0.2,0.51
4,12,The Secret Sea,2019-04-10,0.2,0.56
4,13,No Better to Be Safe Than Sorry,2019-04-17,0.2,0.5
5,1,Do Something Crazy,2020-01-15,0.15,0.429
5,2,The Wrath of the Time Bees,2020-01-22,0.09,0.355
5,3,The Mountain of Ghosts,2020-01-29,0.11,0.374
5,4,Magicians Anonymous,2020-02-05,0.14,0.338
5,5,Apocalypse? Now!?,2020-02-12,0.09,0.335
5,6,Oops!... I Did it again,2020-02-12,0.07,0.261
5,7,Acting Dean,2020-02-19,0.1,0.328
5,8,Garden Variety Homicide,2020-02-26,0.1,0.308
5,9,Cello Squirrel Daffodil,2020-03-04,0.12,0.376
5,10,Purgatory,2020-03-11,0.07,0.308
5,11,Be the Hyman,2020-03-18,0.14,0.369
5,12,The Balls,2020-03-25,0.12,0.379
5,13,Fillory and Further,2020-04-01,0.14,0.432
